Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Jeremy Hellickson,2019,0.7759,0.9507,-0.021,-0.0093,0.7293,0.9062
Raisel Iglesias,2016,0.3902,0.8639,-0.3048,-0.1258,0.1822,0.7897
Raisel Iglesias,2017,0.3386,0.7883,-0.2189,-0.0928,0.1613,0.7952
Raisel Iglesias,2018,0.4199,0.7946,-0.273,-0.1157,0.161,0.7988
Raisel Iglesias,2019,0.4167,0.7831,-0.2322,-0.098,0.1683,0.8009
Josh Osich,2016,0.2442,0.1216,0.5884,0.5022,0.0749,0.322
Josh Osich,2017,0.3844,0.6045,0.2897,0.1296,0.1541,0.7491
Josh Osich,2018,0.3787,0.5909,0.2845,0.1257,0.1514,0.7393
Josh Osich,2019,0.3333,0.6808,0.3727,0.1074,0.1546,0.8517
Blaine Boyer,2016,0.1139,0.6575,0.1266,0.0769,0.078,0.6695
Blaine Boyer,2017,0.1657,0.5809,0.0961,0.0568,0.1044,0.6122
Blaine Boyer,2019,0.1944,0.6146,0.0765,0.0401,0.1164,0.6525
Hunter Strickland,2016,0.1194,0.5991,0.3383,0.1143,0.0647,0.6357
Hunter Strickland,2017,0.2073,0.5819,0.2847,0.1204,0.0971,0.6249
Hunter Strickland,2018,0.2521,0.6303,0.2505,0.1073,0.1118,0.6514
Hunter Strickland,2019,0.2293,0.6301,0.2504,0.1044,0.1049,0.6445
Cory Gearrin,2016,0.2506,0.8014,-0.4354,-0.3742,0.2114,0.8353
Cory Gearrin,2017,0.5612,0.7889,-0.422,-0.1724,0.2123,1.014
Cory Gearrin,2018,0.4926,0.7746,-0.4736,-0.1538,0.1873,1.0142
Cory Gearrin,2019,0.4442,0.7656,-0.5462,-0.1615,0.1599,0.9985
George Kontos,2016,0.3041,0.5161,0.3667,0.1188,0.1094,0.8158
George Kontos,2017,0.2399,0.5745,0.3776,0.1396,0.1021,0.7192
George Kontos,2019,0.2558,0.5942,0.3694,0.1499,0.103,0.7051
Chris Capuano,2019,0.4767,0.909,0.8741,-0.4181,0.6128,0.8437
Carlos Torres,2016,0.2261,0.5638,0.5896,0.2582,0.0858,0.6674
Carlos Torres,2017,0.2916,0.5049,0.5569,0.2266,0.1016,0.7155
Carlos Torres,2019,0.3162,0.5194,0.5368,0.223,0.1084,0.7113
Madison Bumgarner,2016,0.3648,0.7953,0.0188,0.0076,0.39,0.7051
Madison Bumgarner,2017,0.7639,0.948,0.063,0.0157,0.6666,0.9039
Madison Bumgarner,2018,0.7438,0.935,0.0799,0.0203,0.652,0.8811
Madison Bumgarner,2019,0.6751,0.9312,0.1149,0.0243,0.6666,0.8929
Wily Peralta,2016,0.4605,0.7839,0.1423,0.0725,0.3362,0.684
Wily Peralta,2017,0.5113,0.8247,0.1298,0.0651,0.2626,0.6972
Wily Peralta,2018,0.2168,0.7291,0.0775,0.0423,0.1509,0.6957
